Time,gENROE.delta,gENROE.PELEC,eXAC1_1.EFD,gENROE.SPEED,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.0,0.6004578381341846,0.4000000252477881,1.4314197089012368,0.0,0.9999999913060578,0.9919935378249138,0.999999995492736,0.9959841726474757
1.0000000020124892e-10,0.6004578381341846,0.4000000252477881,1.4314197089012368,-2.9495071433459944e-19,0.9999999913060578,0.9919935378249138,0.999999995492736,0.9959841726474757
1.0000000020124892e-10,0.6004578381341846,0.4000000252477881,1.4314197089012368,-2.9495071433459944e-19,0.9999999913060578,0.9919935378249138,0.999999995492736,0.9959841726474757
0.006,0.6004578381175116,0.4000000252244992,1.4314197089019465,-1.768801373336251e-11,0.9999999913066925,0.9919935378254442,0.9999999954930507,0.9959841726478923
0.012,0.6004578380675547,0.40000002515587296,1.4314197089039462,-3.533239644787711e-11,0.999999991308583,0.9919935378270187,0.999999995493986,0.9959841726491296
0.018,0.6004578379845646,0.40000002504421045,1.4314197089059324,-5.2885593216830095e-11,0.9999999913116975,0.9919935378296036,0.9999999954955231,0.9959841726511622
0.024,0.600457837868561,0.4000000248896748,1.4314197089077998,-7.034425671666149e-11,0.9999999913160345,0.9919935378331971,0.9999999954976612,0.9959841726539888
0.03,0.6004578377207425,0.4000000246974281,1.4314197089043452,-8.760489002474611e-11,0.9999999913214936,0.9919935378377053,0.9999999955003461,0.9959841726575364
0.036,0.6004578375408895,0.4000000244665213,1.4314197088965217,-1.0468653013988216e-10,0.9999999913280937,0.9919935378431459,0.9999999955035882,0.9959841726618188
0.042,0.6004578373289186,0.400000024196592,1.431419708884693,-1.2159643072429536e-10,0.999999991335841,0.9919935378495249,0.9999999955073908,0.9959841726668409
0.048,0.6004578370848296,0.4000000238876405,1.431419708868859,-1.3833459177798567e-10,0.9999999913447364,0.9919935378568429,0.9999999955117542,0.9959841726726029
0.054,0.6004578368148601,0.4000000235542808,1.43141970883741,-1.5464813382267494e-10,0.9999999913543762,0.9919935378647639,0.999999995516479,0.995984172678841
0.06,0.6004578365170886,0.4000000231920104,1.4314197087939218,-1.706149502527666e-10,0.9999999913648847,0.9919935378733912,0.9999999955216264,0.9959841726856359
0.066,0.600457836190343,0.4000000227980833,1.4314197087405771,-1.862825724153978e-10,0.9999999913763375,0.991993537882788,0.9999999955272341,0.9959841726930379
